,순위,영화명,개봉일,매출액,관객수,스크린수,배급사,coach,actor_main_name,actor_sub_name,actor_cameo_name,maker,only_gener,genre_one,year
151,152,감기,2013.8.14,"21,784,202,000",3119023,806,아이러브시네마,김성수,"['장혁', '수애', '박민하', '남문철']","['유해진', '이희준', '김기현', '이상엽', '박효주', '박정민', '최병모', '차인표', '박예슬']",['마동석'],"['아이러브시네마', '아이필름홀딩스', '씨제이이엔엠']"," 드라마, 어드벤처, 액션 ",드라마,2013
152,153,말죽거리 잔혹사,2004.1.16,0,3115767,67,씨제이이엔엠,유하,"['권상우', '이정진', '한가인']","['김인권', '박효준', '이종혁', '백봉기', '김동영', '강동수', '김대성', '이민구', '조주연', '민성주', '김성문', '최선중', '전진우', '김소라', '김수민', '정영민', '정진모', '우성', '김정열', '양종규', '이광재', '이진욱', '이혜선', '서동원']","['천호진', '김부선']","['싸이더스', '싸이더스픽쳐스']"," 액션, 멜로/로맨스 ",액션,2004
153,154,광복절 특사,2002.11.20,0,3101900,71,시네마서비스,김상진,"['차승원', '송윤아', '설경구']","['유해진', '김희준', '강신일', '전정훈', '최성은', '이용준', '이광연', '박정학', '강성진', '장태성', '김형일']",,['감독의집']," 드라마, 코미디 ",드라마,2002
154,155,마파도,2005.3.10,0,3090467,58,씨제이이엔엠,추창민,"['김수미', '여운계', '이정진', '이문식', '오달수']","['유해진', '서영희', '길해연']","['정은표', '김상호']",['코리아 엔터테인먼트'], 코미디 ,코미디,2005
155,156,하모니,2010.1.28,"21,992,266,198",3068544,405,씨제이이엔엠,강대규,"['김윤진', '나문희', '강예원', '이다희', '장영남', '박준면', '정수영', '임채연', '이선주']","['김호연', '정혜원', '신정원', '지성원', '박혜진']",,['제이케이필름'], 드라마 ,드라마,2010
156,157,거북이 달린다,2009.6.11,"20,857,347,292",3059812,379,쇼박스,이연우,"['김윤석', '정경호', '견미리', '선우선']","['최수현', '최권', '신정근', '이무생', '유하복', '차은재', '김희원']",,['씨네이천   2000']," 드라마, 액션, 범죄 ",드라마,2009
157,158,너는 내 운명,2005.9.23,0,3051134,92,씨제이이엔엠,박진표,"['전도연', '황정민', '나문희']","['서주희', '윤제문', '김상호', '이민아', '임종윤', '신수현', '정광재', '박명규', '정영헌', '김수연', '이경아', '이규복', '한지원', '고수희', '김광규', '김부선', '정유석']",,['영화사봄'], 멜로/로맨스 ,멜로/로맨스,2005
158,159,스물,2015.3.25,"23,558,988,686",3044134,926,넥스트엔터테인먼트월드(NEW),이병헌,"['김우빈', '이준호', '강하늘']","['오현경', '정소민', '이유비', '정주연']",,"['영화나무', '아이에이치큐']"," 코미디, 드라마 ",코미디,2015
159,160,식객,2007.11.1,0,3038868,88,씨제이이엔엠,전윤수,"['김강우', '이하나', '이태리', '임원희', '김성원', '정진']","['함영희', '김효석', '김명자', '김미수', '정진', '김현구', '이동근', '유재영', '이석은', '전민우', '박상인', '정주현', '이기석', '이기준', '양우진', '김종대', '정은표', '안길강', '김상호', '권병길', '정진', '이주실']",['허영만'],['쇼이스트'], 드라마 ,드라마,2007
160,161,방자전,2010.6.2,"22,853,629,794",3035116,512,씨제이이엔엠,김대우,"['김주혁', '류승범', '조여정', '박영미', '문원주']","['류현경', '오달수', '송새벽', '오정세', '공형진', '김성령', '최무성', '김선영', '조창현', '안정희', '박은혜', '조명행', '전세하', '김형석', '류현상', '송슬기', '박대희', '유은아', '정다혜', '윤주영', '최성일', '김탁호', '이진운', '양시은', '송지인']",,"['바른손이앤에이', '시오필름', '더타워픽쳐스']"," 사극, 코미디, 멜로/로맨스 ",사극,2010
161,162,마더,2009.5.28,"20,195,373,838",3013523,648,씨제이이엔엠,봉준호,"['김혜자', '원빈', '정영기']","['진구', '윤제문', '최재원', '전미선', '송새벽', '천우희', '이미도', '유인수', '박태준', '오원식', '이옥주', '김홍집', '윤혜진', '임성미', '임근아', '김태환', '한지희', '고규필']",,['바른손이앤에이'], 드라마 ,드라마,2009
162,163,오싹한 연애,2011.12.1,"22,010,977,000",3009356,469,씨제이이엔엠,황인호,"['손예진', '이민기', '신동훈']","['조아라', '이현진', '이미도', '황승언', '김현숙']",,['상상필름']," 공포(호러), 멜로/로맨스, 코미디 ",공포(호러),2011
163,164,형,2016.11.23,"23,129,111,893",2982022,993,씨제이이엔엠,권수경,"['조정석', '도경수', '박신혜']","['이연수', '김강현']",,"['굿초이스컷픽쳐스', '씨제이이엔엠', '파파스필름']"," 코미디, 드라마 ",코미디,2016
164,165,친구 2,2013.11.14,"21,804,687,513",2971475,968,롯데쇼핑㈜롯데엔터테인먼트,곽경택,"['유오성', '주진모', '김우빈']","['이준혁', '장영남', '이철민', '기주봉', '정호빈', '지승현', '황성준', '조민준', '장지건']",,"['트리니티엔터테인먼트', '제이콘컴퍼니']", 액션 ,액션,2013
165,166,26년,2012.11.29,"21,241,327,145",2963449,604,"인벤트스톤,영화사청어람",조근현,"['진구', '한혜진', '임슬옹', '배수빈', '이경영', '장광']","['이경영', '이미도', '조덕제', '김의성']",['천우희'],['영화사청어람']," 액션, 드라마 ",액션,2012
166,167,워낭소리,2009.1.15,"19,259,975,032",2962897,20,㈜인디스토리,이충렬,"['최원균', '이삼순', '김민자']",,,['스튜디오느림보'], 다큐멘터리 ,다큐멘터리,2009
167,168,고지전,2011.7.20,"21,968,557,600",2945137,585,쇼박스,장훈,"['신하균', '고수', '이제훈', '류승수', '고창석', '이다윗', '류승룡', '김옥빈', '조진웅', '정인기']","['강구현', '강내균', '조민호', '박영서', '최민', '최정우', '전국환', '김강일']",,['티피에스컴퍼니']," 드라마, 전쟁 ",드라마,2011
168,169,프리즌,2017.3.23,"23,790,276,987",2931897,"1,047",쇼박스,나현,"['한석규', '김래원']","['정웅인', '조재윤', '신성록', '곽민호', '이재균', '차엽', '김승훈', '전배수', '유정호', '한이진']",,['큐로홀딩스']," 범죄, 액션 ",범죄,2017
169,170,가장 보통의 연애,2019.10.2,"24,885,803,430",2924563,"1,073",넥스트엔터테인먼트월드(NEW),김한결,"['김래원', '공효진']","['강기영', '정웅인', '장소연', '이채은', '정혜린', '손우현', '박근록', '주민경', '지일주']","['윤경호', '손여은']",['영화사 집']," 멜로/로맨스, 코미디 ",멜로/로맨스,2019
170,171,헬로우 고스트,2010.12.22,"21,154,651,779",2897477,472,넥스트엔터테인먼트월드(NEW),김영탁,"['차태현', '강예원', '이문수', '고창석', '장영남', '천보근']","['이한위', '안길강']",,['워터앤트리']," 코미디, 드라마 ",코미디,2010
171,172,귀신이 산다,2004.9.17,0,2890000,70,시네마서비스,김상진,"['장서희', '차승원']","['김응수', '김서현', '장항선', '윤문식', '황석정']",['이도겸'],['시네마서비스']," 코미디, 공포(호러), 판타지 ",코미디,2004
172,173,말모이,2019.1.9,"23,987,145,520",2866020,"1,203",롯데컬처웍스롯데엔터테인먼트,엄유나,"['유해진', '윤계상', '차준서', '정원', '송지호', '유순웅']","['김홍파', '우현', '김선영', '민진웅', '이성욱', '조현철', '허성태', '김태훈', '조현도', '송영창', '송영창', '박예나']","['김동영', '예수정', '유재명']",['더램프'], 드라마 ,드라마,2019
173,174,극비수사,2015.6.18,"22,389,535,897",2860786,894,쇼박스,곽경택,"['김윤석', '유해진']","['송영창', '장영남', '정호빈', '이준혁', '이윤희', '남문철', '조민준']","['박효주', '이재용']","['제이콘컴퍼니', '영화사 신세계']"," 드라마, 범죄 ",드라마,2015
174,175,표적,2014.4.30,"22,256,359,300",2841788,665,씨제이이엔엠,창,"['류승룡', '유준상', '이진욱', '김성령', '조여정', '조은지', '김대명']","['김동준', '이현욱', '장준녕', '변상윤']",['진구'],"['바른손이앤에이', '용필름']"," 액션, 드라마 ",액션,2014
175,176,너의 결혼식,2018.8.22,"23,676,244,369",2820969,962,플러스엠 엔터테인먼트,이석근,"['박보영', '김영광']","['강기영', '장성범', '고규필', '서은수', '차엽', '안길강', '배해선', '전배수']","['김현숙', '하준']","['필름케이', '외유내강']", 멜로/로맨스 ,멜로/로맨스,2018
176,177,마녀(魔女) Part2. The Other One,2022.6.15,"28,922,488,670",2806501,"1,796",넥스트엔터테인먼트월드(NEW),박훈정,"['신시아', '박은빈', '서은수', '진구', '성유빈', '조민수']","['차순배', '저스틴하비', '변서윤', '채원빈', '서이라', '정라엘', '김기해', '장재영', '정예진']","['이종석', '김다미']","['영화사 금월', '스튜디오앤뉴', '페퍼민트앤컴퍼니']", 액션 ,액션,2022
177,178,황산벌,2003.10.17,,2771236,71,씨네월드,이준익,"['박중훈', '정진영', '김병철', '김선아', '이문식', '이준희']","['김윤태', '신정근', '류승수']","['이원종', '전원주']",['씨네월드'], 코미디 ,코미디,2003
178,179,부당거래,2010.10.28,"21,326,977,937",2766436,502,씨제이이엔엠,류승완,"['황정민', '류승범', '천호진']","['김승훈', '유해진', '마동석', '백승익', '이희준', '오정세', '김수현', '조영진', '정만식', '곽자형']",['안길강'],"['필름트레인', '외유내강']"," 범죄, 드라마 ",범죄,2010
179,180,1번가의 기적,2007.2.14,0,2750457,80,씨제이이엔엠,윤제균,"['하지원', '임창정', '정두홍']","['강예원', '주현']",,['두사부필름']," 드라마, 코미디 ",드라마,2007
180,181,시라노; 연애조작단,2010.9.16,"20,171,151,599",2731828,402,롯데쇼핑㈜롯데엔터테인먼트,김현석,"['엄태웅', '이민정', '최다니엘', '박신혜']","['박철민', '전아민', '송새벽', '류현경', '이미도', '이미소']","['김지영', '이대연', '권해효']",['명필름']," 멜로/로맨스, 코미디 ",멜로/로맨스,2010
181,182,내가 살인범이다,2012.11.8,"20,392,346,000",2729808,547,쇼박스,정병길,"['정재영', '박시후']","['최원영', '김영애', '배성우', '손종학', '장광', '조은지', '류제승', '김종구', '남정희', '김민상']",,"['다세포클럽', '쇼박스']"," 액션, 스릴러 ",액션,2012
182,183,소원,2013.10.2,"18,529,792,100",2711071,641,롯데쇼핑㈜롯데엔터테인먼트,이준익,"['설경구', '엄지원', '이레']","['김해숙', '김상호', '라미란', '양진성', '권태원']",,['필름모멘텀'], 드라마 ,드라마,2013
183,184,친구,2001.3.31,0,2678846,0,,곽경택,"['유오성', '장동건', '서태화', '정운택', '김보경', '김정태']","['기주봉', '김현숙', '조용원', '김기용']",['주현'],['시네라인투'], 드라마 ,드라마,2001
184,185,곤지암,2018.3.28,"21,442,114,144",2675559,"1,124",쇼박스,정범식,"['위하준', '박지현', '오아연', '문예원', '이승욱', '류제윤']",['박성훈'],['이주원)'],['하이브미디어코프']," 공포(호러), 스릴러 ",공포(호러),2018
185,186,살인자의 기억법,2017.9.6,"21,375,287,492",2658589,"1,064",쇼박스,원신연,"['설경구', '김남길', '설현', '오달수']","['김정영', '김혜윤', '최유송', '정인겸']",['이병준'],"['쇼박스', '더블유픽처스 -', '그린피쉬', '영화사 이창']"," 범죄, 스릴러 ",범죄,2017
186,187,후궁 : 제왕의 첩,2012.6.6,"19,330,302,500",2636320,624,롯데쇼핑㈜롯데엔터테인먼트,김대승,"['조여정', '김동욱', '김민준']","['조은지', '박지영', '이경영', '박철민', '신민철', '안석환', '오지혜', '박충선']",['이용녀'],['황기성 사단']," 사극, 멜로/로맨스 ",사극,2012
187,188,탐정 : 더 비기닝,2015.9.24,"20,463,956,973",2625686,764,씨제이이엔엠,김정훈,"['권상우', '성동일']","['박해준', '이승준', '조복래', '서영희', '최성원', '홍은택', '이해영', '지대한', '진용욱', '윤경호']","['박준면', '이일화']",['크리픽쳐스']," 코미디, 범죄 ",코미디,2015
188,189,지금 만나러 갑니다,2018.3.14,"20,800,916,128",2602273,"1,163",롯데쇼핑㈜롯데엔터테인먼트,이장훈,"['소지섭', '손예진', '김선웅']","['김지환', '고창석', '이유진', '김현수', '배유람', '이준혁', '서정연', '김경애']","['손여은', '박서준', '공효진']","['무비락', '도서관옆스튜디오', '푸른나무픽쳐스']", 멜로/로맨스 ,멜로/로맨스,2018
189,190,위험한 상견례,2011.3.31,"19,174,920,500",2595625,524,롯데쇼핑㈜롯데엔터테인먼트,김진영,"['송새벽', '이시영', '백윤식', '김수미', '박철민']","['강동호', '손대구', '임종혁', '정웅인', '박주희', '정성화', '박효주', '김정난', '김응수']",['이한위'],['전망좋은 영화사']," 코미디, 멜로/로맨스 ",코미디,2011
190,191,아수라,2016.9.28,"20,576,226,662",2594028,"1,278",씨제이이엔엠,김성수,"['정우성', '황정민', '주지훈']","['김현빈', '곽도원', '정만식', '김원해', '김종수', '김해곤', '윤지혜', '오연아', '윤제문', '김수진', '염동헌', '현봉식', '최병모', '박혁민']",,['사나이픽처스']," 범죄, 액션 ",범죄,2016
191,192,보안관,2017.5.3,"20,844,405,409",2588617,"1,091",롯데쇼핑㈜롯데엔터테인먼트,김형주,"['이성민', '조진웅', '김성균']","['김종수', '조우진', '임현성', '배정남', '이정은', '손여은', '김재영']",,"['영화사 월광', '사나이픽처스']"," 범죄, 코미디 ",범죄,2017
192,193,굿모닝 프레지던트,2009.10.22,"18,770,889,320",2583294,586,씨제이이엔엠,장진,"['장동건', '이순재', '고두심', '한채영', '임하룡']","['한동학군대변인)', '허정규', '송기관', '송영규', '박일', '최지나', '김현동', '서정민', '김광현', '유승희', '윤동현', '전유진)', '이은영', '김재호', '최은영', '김용숙', '장영남', '이철민', '김원해', '이해영']",['이한위'],['소란플레이먼트']," 코미디, 드라마 ",코미디,2009
193,194,음란서생,2006.2.23,0,2576022,84,씨제이이엔엠,김대우,"['한석규', '이범수', '김민정', '서명석']","['오달수', '김뢰하', '안내상', '김기현', '우현', '김병옥', '진경', '유지혜', '최명수']","['이순재', '오태경']",['영화사비단길']," 사극, 코미디 ",사극,2006
194,195,내 머리 속의 지우개,2004.11.5,0,2565078,68,씨제이이엔엠,이재한,"['정우성', '손예진']","['김부선', '김중기', '권병길']",,['싸이더스'], 멜로/로맨스 ,멜로/로맨스,2004
195,196,기술자들,2014.12.24,"19,894,297,783",2564340,641,롯데쇼핑㈜롯데엔터테인먼트,김홍선,"['김우빈', '김영철', '고창석', '이현우', '조윤희', '임주환']","['조달환', '지승현', '허준석']","['김사희', '최다니엘']",['트리니티엔터테인먼트']," 범죄, 액션 ",범죄,2014
196,197,증인,2019.2.13,"20,477,262,331",2534075,"1,047",롯데컬처웍스롯데엔터테인먼트,이한,"['정우성', '김향기', '정우성']","['이규형', '염혜란', '장영남', '정원중', '김종수', '박근형', '송윤아', '이준혁', '이레', '최종률', '서광재']",,"['무비락', '도서관옆스튜디오']", 드라마 ,드라마,2019
197,198,내 생애 가장 아름다운 일주일,2005.10.7,0,2533103,105,씨제이이엔엠,민규동,"['황정민', '엄정화', '김유정', '김윤석', '진태현', '임창정', '정경호', '최원석', '김수로', '이은희', '서영희', '우현', '주현']","['정혜영', '정경호', '조희봉', '이세영', '류승수']",,"['두사부필름', '수필름']", 멜로/로맨스 ,멜로/로맨스,2005
198,199,목격자,2018.8.15,"21,733,771,597",2524333,"1,021",넥스트엔터테인먼트월드(NEW),조규장,"['이성민', '김상호', '진경', '곽시양', '김수영']","['김상호', '황영희', '이민웅', '이상희', '정유민']",['박성근'],['에이디사공육 406'], 스릴러 ,스릴러,2018
199,200,조작된 도시,2017.2.9,"20,138,295,587",2514943,"1,019",씨제이이엔엠,박광현,"['지창욱', '심은경', '안재홍']","['오정세', '김상호', '김민교', '김기천', '이하늬', '김슬기', '권태원', '서이안', '배민정']",,"['티피에스컴퍼니', '영화사심플렉스', '컬쳐메이트']"," 범죄, 액션 ",범죄,2017
200,201,공동경비구역 JSA,2000.9.8,0,2513540,0,씨제이이엔엠,박찬욱,"['송강호', '이병헌', '이영애', '신하균', '김태우', '이종용']","['김광일', '이대연', '이한위', '기주봉', '원근희']",['김명수'],['명필름']," 드라마, 미스터리 ",드라마,2000
201,202,블랙머니,2019.11.13,"20,866,634,010",2479664,"1,117",에이스메이커무비웍스,정지영,"['조진웅', '이하늬']","['이경영', '강신일', '최덕문', '조한철', '허성태', '윤진영', '김강훈', '김동인', '김재록', '김종언', '김종태', '김진구', '김호연', '남명렬', '남문철', '백예현', '서현철', '성병숙', '송동환', '엄지만', '천성우', '이나라', '허성태', '임채선', '조한철', '장원진', '정민성', '권소현']","['고인배', '유태오', '이성민']","['유한회사 질라라비 -', '아우라픽처스']"," 범죄, 드라마 ",범죄,2019
202,203,우리 형,2004.10.8,0,2479585,77,씨제이이엔엠,안권태,"['원빈', '조성제', '신하균', '김해숙']","['김석', '김정태', '이보영', '정호빈']",,['진인사필름'], 드라마 ,드라마,2004
203,204,반창꼬,2012.12.19,"17,911,274,787",2475797,466,넥스트엔터테인먼트월드(NEW),정기훈,"['고수', '한효주']","['마동석', '김성오', '쥬니', '진서연', '홍지원)']",['조민기'],['영화사오름'], 멜로/로맨스 ,멜로/로맨스,2012
204,205,박수칠 때 떠나라,2005.8.11,0,2475291,78,시네마서비스,장진,"['차승원', '신하균', '김지수', '박정아', '조정진', '정영호']","['박은주', '인정주', '정규수', '임미연', '윤진호', '이태상', '이해영', '이형곤', '정동환', '장영남', '이한위', '황정민']",,['어나더썬데이']," 드라마, 코미디, 미스터리 ",드라마,2005
205,206,선생 김봉두,2003.3.28,0,2472135,60,시네마서비스,장규성,"['차승원', '김석', '김용선', '변희봉', '성지루']","['김미란', '김희윤', '이재응', '이봄']",,"['좋은영화', '좋은영화']", 코미디 ,코미디,2003
206,207,조선명탐정: 흡혈괴마의 비밀,2018.2.8,"19,822,724,764",2444123,"1,249",쇼박스,김석윤,"['김명민', '오달수', '김지원', '김범', '김태윤']","['김정화', '김건', '윤상훈']",['이민기'],['청년필름']," 사극, 어드벤처, 코미디 ",사극,2018
207,208,화차,2012.3.8,"18,459,203,000",2436400,548,필라멘트픽쳐스,변영주,"['이선균', '김민희', '조성하', '김별']","['차수연', '최덕문', '이희준', '박해준']",,['영화제작소보임'], 미스터리 ,미스터리,2012
208,209,이웃사람,2012.8.22,"18,087,442,369",2434099,600,롯데쇼핑㈜롯데엔터테인먼트,김휘,"['김윤진', '마동석', '천호진', '김성균', '김새론', '임하룡', '장영남', '도지한']","['차현우', '한성천', '김미경', '김기천', '이상희']",['정인기'],"['영화사 무쇠팔', '플로우식스 6', '자이온 이엔티', '누리픽쳐스', '히트박스', '미스터로맨스']", 스릴러 ,스릴러,2012
209,210,광식이 동생 광태,2005.11.23,0,2430200,83,엠케이픽처스,김현석,"['김주혁', '봉태규', '이요원', '김아중']","['정경호', '민도기', '김형민']","['이대연', '박철민']",['엠케이픽처스'], 코미디 ,코미디,2005
210,211,재심,2017.2.15,"19,264,792,637",2421011,935,"오퍼스픽쳐스(유),CGV아트하우스",김태윤,"['정우', '강하늘', '김해숙', '이동휘', '한재영', '이경영']","['박희정', '이정은', '김소진', '김하나', '최정헌', '민진웅', '김영재', '하성광']",,['이디오플랜'], 드라마 ,드라마,2017
211,212,히트맨,2020.1.22,"20,614,278,000",2406232,"1,122",롯데컬처웍스롯데엔터테인먼트,최원섭,"['권상우', '정준호', '황우슬혜', '이이경', '이지원']","['허성태', '김조운', '허동원', '이준혁', '이중옥']","['김풍', '황병국', '박두식']",['베리굿스튜디오']," 코미디, 액션 ",코미디,2020
212,213,사바하,2019.2.20,"20,007,508,194",2398519,"1,174",씨제이이엔엠,장재현,"['이정재', '박정민', '이재인', '유지태']","['정진영', '진선규', '이다윗', '황정민', '지승현', '이항나', '정동환', '오윤홍', '진선규', '차순배']",['김승현'],"['외유내강', '필름케이']"," 미스터리, 스릴러 ",미스터리,2019
213,214,화이: 괴물을 삼킨 아이,2013.10.9,"17,695,516,795",2394466,817,쇼박스,장준환,"['여진구', '김윤석', '조진웅', '장현성', '김성균', '박해준', '임지은', '남지현']","['유연석', '이준혁', '서영화', '김영민']",['박용우'],"['나우필름', '파인하우스필름', '쇼박스']"," 액션, 스릴러 ",액션,2013
214,215,의뢰인,2011.9.29,"17,797,042,500",2393086,522,쇼박스,손영성,"['박희순', '장혁', '하정우', '허재호']","['유다인', '손인용', '최종원', '유하준', '박혁권', '이창훈', '배성우', '정원중', '최희진', '예수정', '박성연', '박성근']",,['청년필름'], 스릴러 ,스릴러,2011
215,216,가문의 영광4 - 가문의 수난,2011.9.7,"17,792,219,500",2368267,537,넥스트엔터테인먼트월드(NEW),정태원,"['김수미', '신현준', '임형준', '정준하', '탁재훈', '현영']","['정웅인', '김지우', '정만식']",,['태원엔터테인먼트'], 코미디 ,코미디,2011
216,217,블라인드,2011.8.10,"18,387,176,500",2367272,404,넥스트엔터테인먼트월드(NEW),안상훈,"['김하늘', '유승호']","['조희봉', '양영조', '박보검']","['이한솔', '김사희']",['문와쳐'], 스릴러 ,스릴러,2011
217,218,박열,2017.6.28,"18,093,543,795",2359174,"1,176",플러스엠 엔터테인먼트,이준익,"['이제훈', '최희서', '김인우', '권율']","['민진웅', '이병훈', '김준한', '최정헌', '백수장', '정준원']",,['박열문화전문회사'], 드라마 ,드라마,2017
218,219,맨발의 기봉이,2006.4.26,0,2347311,71,쇼박스,권수경,"['신현준', '임하룡', '탁재훈']","['김수미', '김효진', '정구영', '강낙호', '조덕현', '지대한']",['권병길'],['태원엔터테인먼트']," 드라마, 코미디, 가족 ",드라마,2006
219,220,바람의 파이터,2004.8.12,0,2346446,41,영화사청어람,양윤호,['양동근'],"['히라야마아야', '정두홍']",,['아이비젼엔터테인먼트'], 액션 ,액션,2004
220,221,작업의 정석,2005.12.21,0,2342232,75,쇼박스,오기환,"['손예진', '송일국']","['김애경', '안선영', '박준규', '박준규', '우현']","['박용우', '금보라', '강두']",['영화사청어람'], 코미디 ,코미디,2005
221,222,첫사랑 사수 궐기 대회,2003.6.27,0,2339410,70,시네마서비스,오종록,"['차태현', '손예진', '김성민']","['강남규', '신선영', '박환수', '이상호', '박승진', '김연실', '성지루']",,['팝콘필름'], 코미디 ,코미디,2003
222,223,미인도,2008.11.13,"15,531,621,371",2325715,463,씨제이이엔엠,전윤수,"['김민선', '김영호', '김남길', '채송화', '김규리']","['추자현', '한명구', '이성훈', '박예슬', '박용', '김형수', '신주희', '황선환', '권정훈', '보리', '이상용', '윤석주', '권병길', '김승훈', '박지일']",,"['이룸영화사', '영화사참']"," 사극, 드라마, 멜로/로맨스 ",사극,2008
223,224,라스트 갓파더,2010.12.29,"16,832,542,997",2316099,547,씨제이이엔엠,심형래,"['심형래', '마이클리스폴리', '하비케이틀', '제이슨미웨스', '조셀린도나휴']",,,['영구아트 -'], 코미디 ,코미디,2010
224,225,주유소 습격사건,1999.10.2,0,2310000,0,시네마서비스,김상진,"['이성재', '유오성', '강성진', '유지태', '박영규']","['정준', '이요원', '김수로']",['차승원'],['좋은영화']," 코미디, 액션 ",코미디,1999
225,226,하녀,2010.5.13,"17,310,669,976",2304487,577,싸이더스,임상수,"['전도연', '이정재', '윤여정', '서우']","['박지영', '안서현', '황정민', '문소리']",,"['싸이더스', '미로비젼']"," 스릴러, 멜로/로맨스 ",스릴러,2010
226,227,"달콤, 살벌한 연인",2006.4.6,0,2286745,60,씨제이이엔엠,손재곤,"['박용우', '최강희', '이광우', '조은지']","['정경호', '박준오', '김권태', '유주희', '윤혜진', '선우선', '조영규']",,"['싸이더스', 'MBC씨앤아이']"," 스릴러, 멜로/로맨스 ",스릴러,2006
227,228,혈의 누,2005.5.4,0,2274995,98,시네마서비스,김대승,"['차승원', '박용우', '지성', '장석원']","['윤세아', '최종원', '박철민', '유해진', '박충선', '서상원', '임종윤', '정진오']","['천호진', '오현경']","['싸이더스', '좋은영화']", 스릴러 ,스릴러,2005
228,229,극락도 살인사건,2007.4.12,0,2259511,85,"엠케이픽처스 ,두엔터테인먼트",김한민,"['박해일', '박솔미', '성지루']","['김광수', '유혜정', '이대연', '김인문', '오정세', '김병춘', '박길수', '정만식']",,['두엔터테인먼트']," 공포(호러), 미스터리, 스릴러 ",공포(호러),2007
229,230,위대한 유산,2003.10.24,0,2251491,57,씨제이이엔엠,오상훈,"['김선아', '임창정', '최무인']","['송은정', '홍금봉', '신성아', '김대중', '신이']",,['씨제이이엔엠'], 코미디 ,코미디,2003
230,231,7광구,2011.8.4,"19,391,653,500",2242510,812,씨제이이엔엠,김지훈,"['하지원', '박철민', '이한위', '오지호', '송새벽', '안성기']","['차예련', '박정학', '박영수', '오민석']",,"['제이케이필름', '씨제이이엔엠']"," SF, 액션, 스릴러 ",SF,2011
231,232,박쥐,2009.4.30,"15,051,788,827",2237271,462,씨제이이엔엠,박찬욱,"['송강호', '김옥빈', '신하균']","['김해숙', '송영창', '오달수', '박인환']",,['모호필름']," 공포(호러), 드라마 ",공포(호러),2009
232,233,타짜: 원 아이드 잭,2019.9.11,"19,687,029,214",2229239,"1,429",롯데컬처웍스롯데엔터테인먼트,권오광,"['박정민', '류승범', '최유화']","['우현', '윤제문', '이광수', '임지연', '권해효']","['주진모', '최동훈']","['싸이더스', '엠씨엠씨', '비에이엔터테인먼트']"," 범죄, 드라마 ",범죄,2019
233,234,싱글즈,2003.7.11,,2203042,58,영화사청어람,권칠인,"['장진영', '엄정화', '김주혁', '이범수', '이상윤', '박수영']","['김광일', '이정옥', '한지혜', '강단비', '심규일', '안재우', '차상훈', '윤상오', '장석현', '김재아', '이세민', '이경열', '김정혁', '이유경', '김지아', '오지혜', '조희봉']",,['싸이더스'], 코미디 ,코미디,2003
234,235,마당을 나온 암탉,2011.7.28,"14,669,905,500",2201722,345,롯데쇼핑㈜롯데엔터테인먼트,오성윤,"['문소리', '박철민', '최민식', '유승호', '김상현']",['김한솔'],,"['오돌또기', '명필름']", 애니메이션 ,애니메이션,2011
